Date,Open,High,Low,Close,Adj Close,Volume
2018-01-12,11.270000,15.240000,10.570000,13.800000,13.800000,175879710
2018-01-11,11.200000,12.460000,8.910000,11.270000,11.270000,115951605
2018-01-10,9.230000,11.490000,8.370000,11.200000,11.200000,86012294
2018-01-09,9.600000,9.740000,8.800000,9.230000,9.230000,20872868
2018-01-08,10.160000,10.390000,8.140000,9.600000,9.600000,46591820
2018-01-07,9.830000,10.890000,9.760000,10.160000,10.160000,38918502
2018-01-06,9.290000,9.900000,8.730000,9.830000,9.830000,29054146
2018-01-05,9.470000,9.850000,8.510000,9.290000,9.290000,39367702
2018-01-04,9.430000,10.490000,9.150000,9.470000,9.470000,68944379
2018-01-03,8.300000,9.430000,7.840000,9.430000,9.430000,36750566
2018-01-02,7.640000,8.600000,7.630000,8.300000,8.300000,37943548
2018-01-01,7.690000,7.950000,7.200000,7.640000,7.640000,16182124
2017-12-31,7.080000,7.820000,7.000000,7.690000,7.690000,17720129
2017-12-30,8.120000,8.190000,6.520000,7.080000,7.080000,39561494
2017-12-29,8.100000,8.730000,7.900000,8.120000,8.120000,33063363
2017-12-28,8.720000,8.760000,7.260000,8.100000,8.100000,37397942
2017-12-27,8.600000,9.410000,8.060000,8.720000,8.720000,45882343
2017-12-26,8.150000,8.710000,8.050000,8.600000,8.600000,39825469
2017-12-25,7.990000,8.830000,7.620000,8.150000,8.150000,30585091
2017-12-24,8.260000,8.420000,6.710000,7.990000,7.990000,51606674
2017-12-23,7.690000,9.250000,7.480000,8.260000,8.260000,73949389
2017-12-22,10.650000,10.660000,3.140000,7.690000,7.690000,233409143
2017-12-21,10.450000,11.850000,9.710000,10.640000,10.640000,102539472
2017-12-20,11.490000,11.700000,9.690000,10.440000,10.440000,100087015
2017-12-19,8.880000,12.490000,8.650000,11.490000,11.490000,308476717
2017-12-18,7.970000,8.970000,7.220000,8.880000,8.880000,87399002
2017-12-17,8.350000,8.990000,7.810000,7.970000,7.970000,65294868
2017-12-16,7.930000,9.290000,7.890000,8.350000,8.350000,103287522
2017-12-15,8.200000,8.360000,6.520000,7.930000,7.930000,114730452
2017-12-14,7.280000,8.700000,7.040000,8.200000,8.200000,175990593
2017-12-13,5.080000,7.280000,4.690000,7.280000,7.280000,208583796
2017-12-12,4.390000,5.880000,4.230000,5.080000,5.080000,69445612
2017-12-11,3.670000,4.480000,3.650000,4.390000,4.390000,44205898
2017-12-10,3.980000,4.010000,3.400000,3.670000,3.670000,26372941
2017-12-09,4.220000,4.630000,3.680000,3.980000,3.980000,39182987
2017-12-08,3.890000,4.500000,3.530000,4.220000,4.220000,39526763
2017-12-07,4.470000,4.470000,3.280000,3.890000,3.890000,59402340
2017-12-06,4.190000,5.120000,4.160000,4.470000,4.470000,68301459
2017-12-05,4.040000,4.570000,3.650000,4.190000,4.190000,69064180
2017-12-04,3.580000,4.200000,3.410000,4.040000,4.040000,41289807
2017-12-03,3.910000,4.120000,3.400000,3.580000,3.580000,37420561
2017-12-02,3.220000,3.980000,3.160000,3.910000,3.910000,43225605
2017-12-01,2.840000,3.250000,2.690000,3.220000,3.220000,22754467
2017-11-30,2.710000,2.980000,2.440000,2.840000,2.840000,30681545
2017-11-29,2.760000,3.360000,2.480000,2.710000,2.710000,41887552
2017-11-28,2.860000,3.060000,2.710000,2.760000,2.760000,33310024
